file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,120,css,9df0a019,Diego Menchaca,2026-04-30,21:08:15,-07:00,2026-04-30T21:08:15-07:00,1,23
style.css,121,css,9df0a019,Diego Menchaca,2026-04-30,21:08:15,-07:00,2026-04-30T21:08:15-07:00,1,8
style.css,122,css,9df0a019,Diego Menchaca,2026-04-30,21:08:15,-07:00,2026-04-30T21:08:15-07:00,0,0
style.css,123,css,9df0a019,Diego Menchaca,2026-04-30,21:08:15,-07:00,2026-04-30T21:08:15-07:00,0,0
style.css,124,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,0,4
style.css,125,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,12
style.css,126,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,30
style.css,127,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,7
style.css,128,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,0,0
style.css,129,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,0,0
style.css,130,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,0,5
style.css,131,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,12
style.css,132,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,29
style.css,133,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,18
style.css,134,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,0,0
style.css,135,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,0,0
style.css,136,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,0,11
style.css,137,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,18
style.css,138,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,0,0
style.css,139,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,0,0
style.css,140,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,0,22
style.css,141,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,15
style.css,142,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,17
style.css,143,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,0,0
style.css,144,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,8
style.css,145,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,2,14
style.css,146,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,0
style.css,147,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,0,0
style.css,148,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,0,0
style.css,149,css,6b1da9e0,Diego Menchaca,2026-04-03,17:20:01,-07:00,2026-04-03T17:20:01-07:00,0,4
style.css,150,css,6e4a6453,Diego Menchaca,2026-04-04,20:04:23,-07:00,2026-04-04T20:04:23-07:00,1,43
style.css,151,css,6e4a6453,Diego Menchaca,2026-04-04,20:04:23,-07:00,2026-04-04T20:04:23-07:00,0,42
style.css,152,css,6e4a6453,Diego Menchaca,2026-04-04,20:04:23,-07:00,2026-04-04T20:04:23-07:00,0,0
style.css,153,css,6b1da9e0,Diego Menchaca,2026-04-03,17:20:01,-07:00,2026-04-03T17:20:01-07:00,1,23
style.css,154,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,15
style.css,155,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,18
style.css,156,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,19
style.css,157,css,93a1ba39,Diego Menchaca,2026-04-04,20:27:13,-07:00,2026-04-04T20:27:13-07:00,1,32
style.css,158,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,159,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,160,css,1863caa8,Diego Menchaca,2026-04-07,14:31:27,-07:00,2026-04-07T14:31:27-07:00,0,20
style.css,161,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,14
style.css,162,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,10
style.css,163,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,12
style.css,164,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,14
style.css,165,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,9
style.css,166,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,15
style.css,167,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,9
style.css,168,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,8
style.css,169,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,170,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,171,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,10
style.css,172,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,52
style.css,173,css,1863caa8,Diego Menchaca,2026-04-07,14:31:27,-07:00,2026-04-07T14:31:27-07:00,1,47
style.css,174,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,19
style.css,175,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,17
style.css,176,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,15
style.css,177,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,44
style.css,178,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,179,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,180,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,16
style.css,181,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,21
style.css,182,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,52
style.css,183,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,184,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,185,css,1863caa8,Diego Menchaca,2026-04-07,14:31:27,-07:00,2026-04-07T14:31:27-07:00,0,19
style.css,186,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,11
style.css,187,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,12
style.css,188,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,29
style.css,189,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,9
style.css,190,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,19
style.css,191,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,20
style.css,192,css,d211a2c7,Diego Menchaca,2026-04-16,12:29:36,-07:00,2026-04-16T12:29:36-07:00,1,48
style.css,193,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,194,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,195,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,20
style.css,196,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,13
style.css,197,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,198,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,199,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,26
style.css,200,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,13
style.css,201,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,202,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,203,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,23
style.css,204,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,24
style.css,205,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,14
style.css,206,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,21
style.css,207,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,24
style.css,208,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,8
style.css,209,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,210,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,211,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,15
style.css,212,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,16
style.css,213,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,14
style.css,214,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,19
style.css,215,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,216,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,0
style.css,217,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,0,24
style.css,218,css,68c6fc2e,Diego Menchaca,2026-04-05,11:57:28,-07:00,2026-04-05T11:57:28-07:00,1,16
